date,visits_in_day
2007-04-28,3
2007-04-29,2
2007-05-01,1
2007-05-06,4
2007-05-08,1
2008-08-18,1
2008-08-22,1
2008-08-28,1
2008-08-29,2
2008-08-30,4
2008-08-31,22
2008-09-01,4
2008-09-02,2
2008-09-03,4
2008-09-04,1
2008-09-05,5
2008-09-08,1
2008-09-10,1
2008-09-11,2
2008-09-12,1
2008-09-13,10
2008-09-15,2
2008-09-16,1
2008-09-18,6
2008-09-19,1
2008-09-21,1
2008-09-22,1
2008-09-23,2
2008-09-24,3
2008-09-26,1
2008-09-30,15
2008-10-11,1
2008-10-12,1
2008-10-22,1
2008-10-25,4
2008-11-07,1
2008-11-08,1
2009-01-06,1
2009-01-09,3
2009-01-10,6
2009-01-29,2
2009-01-30,7
2009-01-31,1
2009-02-02,1
2009-02-03,27
2009-02-05,3
2009-02-09,1
2009-02-11,2
2009-02-12,2
2009-02-13,1
2009-02-14,5
2009-02-15,10
2009-02-16,1
2009-02-17,1
2009-02-20,7
2009-03-14,8
2009-03-17,1
2009-03-19,2
2009-03-22,6
2009-03-27,16
2009-03-28,2
2009-03-29,4
2009-03-31,1
2009-04-03,2
2009-04-10,2
2009-04-12,3
2009-04-19,4
2009-04-20,2
2009-05-02,5
2009-05-03,10
2009-05-04,4
2009-05-06,1
2009-05-07,1
2009-05-08,2
2009-05-09,4
2009-05-10,1
2009-05-14,3
2009-05-15,3
2009-05-19,1
2009-05-21,3
2009-05-23,4
2009-05-24,3
2009-05-26,3
2009-05-30,6
2009-05-31,3
2009-06-03,1
2009-06-04,5
2009-06-05,2
2009-06-06,10
2009-06-09,5
2009-06-11,2
2009-06-13,6
2009-06-17,1
2009-06-19,3
2009-06-20,7
2009-06-23,2
2009-06-25,2
2009-06-27,9
2009-06-28,2
2009-07-04,2
2009-07-07,2
2009-07-08,3
2009-07-09,1
2009-07-10,3
2009-07-11,1
2009-07-12,4
2009-07-13,6
2009-07-14,5
2009-07-17,8
2009-07-31,2
2009-08-10,2
2009-08-16,6
2009-08-24,1
2009-08-27,1
2009-09-02,3
2009-09-04,3
2009-09-08,3
2009-09-09,5
2009-09-13,13
2009-09-15,1
2009-09-17,1
2009-09-18,6
2009-09-21,1
2009-09-23,2
2009-09-24,1
2009-09-25,1
