k,home_k,at_risk,hazard
1,17,218,0.0779816513761468
2,15,212,0.07075471698113207
3,14,207,0.06763285024154589
4,12,200,0.06
5,13,190,0.06842105263157895
6,11,176,0.0625
7,10,162,0.06172839506172839
8,9,155,0.05806451612903226
9,10,143,0.06993006993006994
10,9,123,0.07317073170731707
11,10,109,0.09174311926605505
12,9,96,0.09375
13,8,83,0.0963855421686747
14,5,72,0.06944444444444445
15,3,64,0.046875
16,5,60,0.08333333333333333
17,3,51,0.058823529411764705
18,5,48,0.10416666666666667
19,4,42,0.09523809523809523
20,5,39,0.1282051282051282
21,3,33,0.09090909090909091
22,0,28,0.0
23,2,21,0.09523809523809523
24,3,19,0.15789473684210525
25,2,17,0.11764705882352941
26,2,15,0.13333333333333333
27,2,15,0.13333333333333333
28,4,12,0.3333333333333333
29,1,10,0.1
30,2,9,0.2222222222222222
