k,pv_cnt,pn_cnt,n,pv_rate
1,20,115,135,0.14814814814814814
2,20,109,129,0.15503875968992248
3,25,100,125,0.2
4,28,87,115,0.24347826086956523
5,21,85,106,0.19811320754716982
6,20,79,99,0.20202020202020202
7,20,67,87,0.22988505747126436
8,17,58,75,0.22666666666666666
9,11,56,67,0.16417910447761194
10,15,35,50,0.3
11,6,36,42,0.14285714285714285
12,8,29,37,0.21621621621621623
13,6,25,31,0.1935483870967742
14,8,20,28,0.2857142857142857
15,2,19,21,0.09523809523809523
16,3,14,17,0.17647058823529413
17,0,14,14,0.0
18,1,9,10,0.1
19,0,8,8,0.0
20,1,4,5,0.2
21,2,2,4,0.5
22,1,2,3,0.3333333333333333
23,0,2,2,0.0
24,0,2,2,0.0
25,0,2,2,0.0
26,0,2,2,0.0
27,0,2,2,0.0
28,0,1,1,0.0
29,0,1,1,0.0
30,0,1,1,0.0
