date,visits_in_day
2007-11-30,6
2007-12-02,1
2007-12-05,6
2007-12-06,10
2007-12-07,2
2007-12-08,2
2007-12-10,2
2007-12-12,7
2007-12-14,1
2007-12-17,8
2007-12-18,1
2007-12-19,9
2007-12-24,9
2007-12-25,1
2007-12-27,5
2007-12-29,3
2007-12-30,3
2007-12-31,1
2008-01-01,2
2008-01-02,4
2008-01-03,4
2008-01-04,1
2008-01-09,2
2008-01-10,1
2008-01-11,1
2008-01-13,3
2008-01-16,2
2008-02-22,3
2008-02-24,5
2008-03-02,1
2008-03-04,2
2008-03-12,3
2008-03-13,10
2008-03-18,1
2008-03-28,13
2008-04-17,3
2008-04-27,4
2008-05-01,1
2008-05-04,2
2008-05-08,1
2008-05-09,4
2008-05-13,1
2008-05-19,2
2008-05-21,2
2008-05-28,5
2008-05-30,2
2008-05-31,8
2008-07-11,3
2008-08-06,7
2008-08-07,3
2008-08-13,3
2008-08-16,14
2008-08-22,12
2008-08-23,8
2008-08-24,8
2008-08-26,5
2008-08-27,4
2008-08-28,4
2008-08-31,4
2008-09-02,3
2008-09-03,6
2008-09-04,3
2008-09-05,3
2008-09-06,12
2008-09-07,2
2008-09-08,2
2008-09-10,8
2008-09-11,3
2008-09-12,6
2008-09-13,7
2008-09-14,4
2008-09-15,8
2008-09-16,1
2008-09-17,4
2008-09-19,2
2008-09-20,10
2008-09-21,3
2008-09-22,1
2008-09-24,9
2008-09-25,12
2008-09-28,6
2008-09-29,1
2008-09-30,1
2008-10-01,4
2008-10-02,4
2008-10-03,15
2008-10-04,1
2008-10-05,5
2008-10-08,13
2008-10-09,8
2008-10-10,10
2008-10-11,9
2008-10-12,5
