date,visits_in_day
2009-02-11,4
2009-02-12,1
2009-02-13,6
2009-02-14,22
2009-02-15,13
2009-02-16,4
2009-02-17,3
2009-02-18,5
2009-02-19,6
2009-02-20,3
2009-02-21,30
2009-02-22,12
2009-02-23,7
2009-02-24,3
2009-02-25,5
2009-02-26,7
2009-02-27,4
2009-02-28,14
2009-03-01,6
2009-03-02,4
2009-03-03,3
2009-03-04,4
2009-03-05,3
2009-03-06,10
2009-03-07,8
2009-03-08,16
2009-03-09,6
2009-03-10,5
2009-03-11,7
2009-03-12,6
2009-03-13,14
2009-03-14,10
2009-03-15,8
2009-03-16,3
2009-03-17,1
2009-03-18,5
2009-03-19,5
2009-03-20,4
2009-03-21,18
2009-03-22,10
2009-03-23,2
2009-03-24,4
2009-03-25,2
2009-03-26,2
2009-04-02,13
2009-04-03,1
2009-04-05,7
2009-04-08,8
2009-04-09,2
2009-04-10,4
2009-04-11,4
2009-04-12,7
2009-04-14,11
2009-04-15,4
2009-04-16,3
2009-04-17,4
2009-04-18,12
2009-04-19,4
2009-04-20,6
2009-04-22,6
2009-04-23,4
2009-04-24,3
2009-04-27,23
2009-04-28,9
2009-04-29,7
2009-04-30,25
2009-05-01,13
2009-05-02,7
2009-05-03,25
2009-05-04,9
2009-05-05,8
2009-05-06,13
2009-05-07,21
2009-05-08,12
2009-05-09,22
2009-05-10,10
2009-05-11,10
2009-05-12,7
2009-05-13,6
2009-05-14,7
2009-05-15,5
2009-05-16,6
2009-05-17,4
2009-05-18,3
2009-05-19,4
2009-05-20,13
2009-05-21,2
2009-05-22,6
2009-05-23,8
2009-05-24,11
2009-05-25,7
2009-05-27,7
2009-05-28,10
2009-05-29,30
2009-05-30,12
2009-05-31,12
2009-06-01,15
2009-06-02,15
2009-06-03,20
2009-06-04,16
2009-06-05,18
2009-06-06,7
2009-06-07,9
2009-06-08,10
2009-06-09,10
2009-06-10,21
2009-06-11,17
2009-06-12,10
2009-06-13,18
2009-06-14,1
2009-06-15,3
2009-06-16,9
2009-06-17,12
2009-06-18,7
2009-06-19,2
2009-06-21,7
2009-06-22,9
2009-06-23,5
2009-06-24,6
2009-06-25,8
2009-06-26,12
2009-06-27,3
2009-06-28,20
2009-06-29,6
2009-06-30,6
2009-07-01,10
2009-07-02,5
2009-07-03,12
2009-07-04,9
2009-07-05,3
2009-07-06,2
2009-07-07,2
2009-07-08,8
2009-07-09,5
2009-07-10,8
2009-07-11,19
2009-07-12,6
2009-07-13,2
2009-07-14,7
