k,pv_cnt,pn_cnt,n,pv_rate
1,14,94,108,0.12962962962962962
2,11,93,104,0.10576923076923077
3,17,76,93,0.1827956989247312
4,13,71,84,0.15476190476190477
5,14,60,74,0.1891891891891892
6,15,50,65,0.23076923076923078
7,11,47,58,0.1896551724137931
8,10,35,45,0.2222222222222222
9,9,23,32,0.28125
10,8,20,28,0.2857142857142857
11,6,18,24,0.25
12,7,14,21,0.3333333333333333
13,8,12,20,0.4
14,7,10,17,0.4117647058823529
15,5,10,15,0.3333333333333333
16,5,8,13,0.38461538461538464
17,3,6,9,0.3333333333333333
18,2,7,9,0.2222222222222222
19,2,4,6,0.3333333333333333
20,1,4,5,0.2
21,2,1,3,0.6666666666666666
22,1,2,3,0.3333333333333333
23,0,3,3,0.0
24,0,1,1,0.0
25,0,1,1,0.0
26,0,1,1,0.0
27,0,1,1,0.0
28,0,1,1,0.0
29,1,0,1,1.0
30,0,1,1,0.0
