date,visits_in_day
2008-07-21,3
2008-07-22,24
2008-07-23,4
2008-07-24,4
2008-07-25,2
2008-07-26,3
2008-07-27,2
2008-07-31,1
2008-08-01,4
2008-08-03,7
2008-08-19,3
2008-08-20,5
2008-08-21,3
2008-08-22,3
2008-08-24,27
2008-08-25,5
2008-08-26,4
2008-08-31,2
2008-09-01,15
2008-09-08,1
2008-09-09,7
2008-09-10,5
2008-09-12,6
2008-09-13,18
2008-09-14,26
2008-09-15,2
2008-09-16,12
2008-09-17,5
2008-09-18,9
2008-09-19,23
2008-09-20,11
2008-09-21,1
2008-09-22,19
2008-09-23,10
2008-09-24,7
2008-09-25,11
2008-10-06,1
2008-10-07,8
2008-10-08,10
2008-10-09,9
2008-10-10,7
2008-10-11,4
2008-10-12,3
2008-10-13,14
2008-10-14,3
2008-10-15,7
2008-10-16,16
2008-10-17,4
2008-10-18,2
2008-10-19,18
2008-10-20,3
2008-10-21,12
2008-10-22,7
2008-10-23,9
2008-10-24,7
2008-10-25,12
2008-10-26,8
2008-10-27,5
2008-10-28,8
2008-10-29,6
2008-10-30,18
2008-10-31,11
2008-11-01,17
2008-11-02,35
2008-11-03,17
2008-11-04,18
2008-11-05,13
2008-11-06,15
2008-11-08,14
2008-11-26,8
2008-11-27,9
2008-11-28,11
2008-11-29,22
2008-11-30,3
2008-12-01,6
2008-12-02,6
2008-12-03,8
2008-12-04,23
2008-12-05,8
2008-12-06,17
2008-12-07,6
2008-12-08,7
2008-12-09,8
2008-12-10,5
2009-01-18,1
2009-01-19,1
2009-04-04,7
2009-04-05,20
2009-04-06,21
2009-04-07,1
2009-04-08,1
2009-04-09,2
2009-04-10,2
2009-04-11,23
2009-04-14,1
2009-04-17,12
2009-04-18,14
2009-04-27,2
2009-04-28,1
2009-05-01,19
2009-05-05,2
2009-05-08,3
2009-05-09,7
2009-05-10,3
2009-05-15,2
2009-05-16,5
2009-05-17,8
2009-05-18,6
2009-05-19,1
2009-05-24,3
2009-05-25,3
2009-05-29,5
2009-05-31,3
2009-06-03,2
2009-06-06,9
2009-07-03,1
2009-07-04,2
2009-07-05,3
2009-07-11,1
2009-07-18,7
2009-07-19,2
2009-07-24,1
2009-07-25,17
2009-07-27,7
2009-08-01,2
2009-08-02,4
2009-08-07,2
2009-08-08,15
2009-08-19,8
2009-08-29,10
2009-08-30,5
2009-09-03,5
2009-09-05,19
2009-09-06,10
2009-09-07,1
2009-09-08,1
2009-09-11,3
