date,visits_in_day
2008-10-24,12
2008-10-25,16
2008-10-26,12
2008-10-27,18
2008-10-28,11
2008-10-29,11
2008-10-30,6
2008-10-31,22
2008-11-01,8
2008-11-02,16
2008-11-03,8
2008-11-04,5
2008-11-05,7
2008-11-06,21
2008-11-07,30
2008-11-08,9
2008-11-09,12
2008-11-10,13
2008-11-11,6
2008-11-12,9
2008-11-13,13
2008-11-14,19
2008-11-15,14
2008-11-16,12
2008-11-17,12
2008-11-18,11
2008-11-19,6
2008-11-20,11
2008-11-21,20
2008-11-22,28
2008-11-23,6
2008-11-30,3
2008-12-01,13
2008-12-02,34
2008-12-03,38
2008-12-04,13
2008-12-05,18
2008-12-06,12
2008-12-07,9
2008-12-08,13
2008-12-09,16
2008-12-10,16
2008-12-11,25
2008-12-12,6
2008-12-13,9
2008-12-14,31
2008-12-15,13
2008-12-16,28
2008-12-17,15
2008-12-18,18
2008-12-19,21
2008-12-20,4
2008-12-21,8
2008-12-22,20
2008-12-23,4
2008-12-24,17
2008-12-25,10
2008-12-26,22
2008-12-28,9
2008-12-29,20
2008-12-30,16
2008-12-31,1
2009-01-01,23
2009-01-02,25
2009-01-03,42
2009-01-04,7
2009-01-05,1
2009-01-06,4
2009-01-07,6
2009-01-08,11
2009-01-09,21
2009-01-11,9
2009-01-12,10
2009-01-13,15
2009-01-14,5
2009-01-15,11
2009-01-16,8
2009-01-17,22
2009-01-18,8
2009-01-19,27
2009-01-20,12
2009-02-04,1
2009-02-05,5
2009-02-06,3
2009-02-07,8
2009-02-08,4
2009-02-09,4
2009-02-10,14
2009-02-11,16
2009-02-12,8
2009-02-13,10
2009-02-14,50
2009-02-16,14
2009-02-17,12
2009-02-18,12
2009-02-19,10
2009-02-20,20
2009-02-21,51
2009-02-22,10
2009-02-23,5
2009-02-24,11
2009-02-25,17
2009-02-26,9
2009-02-27,29
2009-02-28,18
2009-03-01,7
2009-03-02,3
2009-03-03,14
2009-03-04,18
2009-03-05,5
2009-03-06,21
2009-03-07,3
2009-03-08,8
2009-03-09,23
2009-03-10,24
2009-03-11,10
2009-03-12,15
2009-03-13,6
2009-03-14,9
2009-03-15,11
2009-03-16,16
2009-03-19,10
2009-03-20,9
2009-03-23,5
2009-03-24,19
2009-03-25,22
2009-03-26,12
2009-03-30,11
2009-03-31,13
2009-04-01,6
2009-04-02,9
2009-04-03,33
2009-04-04,27
2009-04-05,24
2009-04-06,12
2009-04-09,2
2009-04-10,10
2009-04-11,12
2009-04-12,9
2009-04-13,10
2009-04-14,14
2009-04-15,11
2009-04-16,14
2009-04-17,9
2009-04-18,2
2009-04-19,21
2009-04-20,10
2009-04-21,5
2009-04-22,8
2009-04-23,5
2009-04-24,11
2009-04-25,22
2009-04-26,16
2009-04-27,15
2009-04-28,3
2009-04-29,18
2009-04-30,20
2009-05-01,16
2009-05-02,19
2009-05-03,14
2009-05-04,6
2009-05-05,7
2009-05-06,1
2009-05-07,13
2009-05-08,5
2009-05-09,6
2009-05-10,4
2009-05-11,9
2009-05-12,10
2009-05-13,2
2009-05-14,6
2009-05-15,5
2009-05-16,4
2009-05-17,9
2009-05-18,13
2009-05-19,5
2009-05-20,1
2009-05-21,4
2009-05-22,2
2009-05-23,2
2009-05-24,7
2009-05-25,9
2009-05-26,10
2009-05-27,13
2009-05-28,22
2009-05-30,14
2009-05-31,6
2009-06-02,17
2009-06-03,10
2009-06-04,10
2009-06-05,8
2009-06-06,12
2009-06-07,6
2009-06-08,8
2009-06-09,22
2009-06-10,3
2009-06-11,13
2009-06-12,9
2009-06-13,27
2009-06-14,8
2009-06-15,5
2009-06-16,20
2009-06-17,9
2009-06-18,4
2009-06-19,9
2009-06-20,6
2009-06-21,11
2009-06-22,4
2009-06-23,9
2009-06-24,7
2009-06-25,5
2009-06-29,9
2009-06-30,7
2009-07-01,3
2009-07-02,41
2009-07-03,11
2009-07-04,1
2009-07-05,5
