date,visits_in_day
2008-10-23,4
2008-10-24,1
2008-10-26,2
2008-10-28,22
2008-11-03,2
2008-11-04,54
2008-11-11,41
2008-11-12,7
2008-11-13,15
2008-11-14,13
2008-11-15,1
2008-11-17,4
2008-11-18,2
2008-11-19,2
2008-11-22,2
2008-12-01,2
2008-12-02,3
2008-12-03,8
2008-12-12,2
2008-12-14,1
2009-03-30,25
2009-03-31,19
2009-04-01,5
2009-04-02,13
2009-04-03,20
2009-04-04,22
2009-04-05,69
2009-04-06,8
2009-04-10,2
2009-04-11,6
2009-04-12,2
2009-04-13,21
2009-04-14,12
2009-04-15,6
2009-04-16,35
2009-04-17,18
2009-04-18,2
2009-04-19,12
2009-04-20,23
2009-04-21,6
2009-04-22,18
2009-04-23,3
2009-04-24,40
2009-04-25,15
2009-04-26,27
2009-04-27,32
2009-04-28,7
2009-04-29,41
2009-04-30,19
2009-05-01,28
2009-05-02,13
2009-05-03,8
2009-05-04,14
2009-05-05,11
2009-05-06,2
2009-05-07,32
2009-05-08,5
2009-05-09,6
2009-05-10,19
2009-05-11,3
2009-05-12,39
2009-05-13,15
2009-05-14,7
2009-05-15,11
2009-05-16,7
2009-05-17,20
2009-05-18,24
2009-05-19,5
2009-05-20,9
2009-05-21,22
2009-05-24,16
2009-05-25,14
2009-05-26,15
2009-05-27,18
2009-05-28,19
2009-05-30,11
2009-05-31,22
2009-06-01,4
2009-06-02,40
2009-06-03,17
2009-06-05,33
2009-06-06,17
2009-06-07,17
2009-06-08,15
2009-06-09,74
2009-06-10,18
2009-06-11,15
2009-06-12,7
2009-06-13,54
2009-06-14,10
2009-06-15,19
2009-06-16,29
2009-06-17,8
2009-06-18,11
2009-06-19,23
2009-06-20,17
2009-06-21,28
2009-06-22,3
2009-06-23,22
2009-06-24,15
2009-06-25,1
2009-06-29,6
2009-06-30,16
2009-07-01,6
2009-07-02,98
2009-07-03,41
2009-07-04,13
2009-07-05,6
