date,visits_in_day
2008-12-15,4
2008-12-16,6
2008-12-17,9
2008-12-19,13
2008-12-21,4
2008-12-22,12
2008-12-23,7
2008-12-24,21
2008-12-25,14
2008-12-26,19
2008-12-27,12
2008-12-28,4
2008-12-29,4
2008-12-31,9
2009-01-01,1
2009-01-02,1
2009-01-03,7
2009-01-04,9
2009-01-05,3
2009-01-09,6
2009-01-10,19
2009-02-07,13
2009-02-08,5
2009-02-15,1
2009-02-16,5
2009-02-17,8
2009-02-18,6
2009-02-19,17
2009-02-20,10
2009-03-05,8
2009-03-06,8
2009-03-07,16
2009-03-08,12
2009-03-09,16
2009-03-10,5
2009-03-11,16
2009-03-12,3
2009-03-13,18
2009-03-14,7
2009-03-15,7
2009-03-16,6
2009-03-17,6
2009-03-18,14
2009-03-19,3
2009-03-20,3
2009-03-21,11
2009-03-22,18
2009-03-30,4
2009-03-31,9
2009-04-01,11
2009-04-02,22
2009-04-04,9
2009-04-05,15
2009-04-06,10
2009-04-07,9
2009-04-08,7
2009-04-09,27
2009-04-10,7
2009-04-11,4
2009-04-12,12
2009-04-13,9
2009-04-14,3
2009-04-15,8
2009-04-16,9
2009-04-18,17
2009-04-19,15
2009-04-20,3
2009-04-21,12
2009-04-22,10
2009-04-23,6
2009-04-24,17
2009-04-25,15
2009-04-26,9
2009-04-27,12
2009-04-28,14
2009-04-29,20
2009-04-30,17
2009-05-01,1
2009-05-02,9
2009-05-03,3
2009-05-05,5
2009-05-06,7
2009-05-07,7
2009-05-08,6
2009-05-09,1
2009-05-10,2
2009-05-11,10
2009-05-12,6
2009-05-20,7
2009-05-21,19
2009-05-22,10
2009-05-23,13
2009-05-24,14
2009-05-25,8
2009-05-26,11
2009-05-27,9
2009-05-28,11
2009-05-29,14
2009-05-30,6
2009-05-31,11
2009-06-01,1
2009-06-02,7
2009-06-03,6
2009-06-04,4
2009-06-05,10
2009-06-06,15
2009-06-07,2
2009-06-10,3
2009-06-11,6
2009-06-12,5
2009-06-14,9
2009-06-15,3
2009-06-16,7
2009-06-17,5
2009-06-18,8
2009-06-19,41
2009-06-20,14
2009-06-21,9
2009-06-22,10
2009-06-23,14
2009-06-24,8
2009-06-25,9
2009-06-26,2
2009-06-27,9
2009-06-28,6
2009-06-29,3
2009-06-30,4
2009-07-01,4
2009-07-02,10
2009-07-03,8
2009-07-04,5
2009-07-05,9
2009-07-06,9
2009-07-07,2
2009-07-08,7
