k,home_k,at_risk,hazard
1,15,154,0.09740259740259741
2,18,131,0.13740458015267176
3,6,109,0.05504587155963303
4,2,97,0.020618556701030927
5,4,90,0.044444444444444446
6,7,79,0.08860759493670886
7,5,71,0.07042253521126761
8,1,62,0.016129032258064516
9,4,52,0.07692307692307693
10,5,48,0.10416666666666667
11,1,40,0.025
12,3,35,0.08571428571428572
13,4,28,0.14285714285714285
14,1,23,0.043478260869565216
15,1,18,0.05555555555555555
16,0,15,0.0
17,1,12,0.08333333333333333
18,0,8,0.0
19,0,6,0.0
20,0,6,0.0
21,0,5,0.0
22,0,5,0.0
23,1,3,0.3333333333333333
24,0,2,0.0
25,0,2,0.0
26,0,2,0.0
27,0,2,0.0
28,0,2,0.0
29,1,2,0.5
30,0,1,0.0
