k,home_k,at_risk,hazard
1,16,135,0.11851851851851852
2,14,129,0.10852713178294573
3,23,125,0.184
4,16,115,0.1391304347826087
5,16,106,0.1509433962264151
6,19,99,0.1919191919191919
7,13,87,0.14942528735632185
8,17,75,0.22666666666666666
9,15,67,0.22388059701492538
10,13,50,0.26
11,11,42,0.2619047619047619
12,11,37,0.2972972972972973
13,3,31,0.0967741935483871
14,7,28,0.25
15,8,21,0.38095238095238093
16,3,17,0.17647058823529413
17,6,14,0.42857142857142855
18,3,10,0.3
19,3,8,0.375
20,1,5,0.2
21,0,4,0.0
22,1,3,0.3333333333333333
23,1,2,0.5
24,0,2,0.0
25,0,2,0.0
26,0,2,0.0
27,1,2,0.5
28,0,1,0.0
29,0,1,0.0
30,0,1,0.0
