date,visits_in_day
2008-04-04,5
2008-04-05,13
2008-04-12,1
2008-04-14,1
2008-04-22,8
2008-04-26,11
2008-04-27,6
2008-05-01,3
2008-05-03,17
2008-05-10,5
2008-05-11,18
2008-05-16,9
2008-05-17,8
2008-05-18,11
2008-05-21,17
2008-05-22,3
2008-05-23,10
2008-05-28,8
2008-05-29,1
2008-05-31,5
2008-06-01,8
2008-06-02,13
2008-06-03,1
2008-06-05,16
2008-06-06,1
2008-06-09,5
2008-06-14,12
2008-06-15,3
2008-06-20,29
2008-06-21,8
2008-06-22,14
2008-06-28,5
2008-06-29,18
2008-07-06,7
2008-07-12,12
2008-07-13,22
2008-07-14,3
2008-07-16,2
2008-07-18,11
2008-07-19,6
2008-07-23,7
2008-07-24,4
2008-07-25,3
2008-07-26,3
2008-07-27,23
2008-07-28,1
2008-07-29,10
2008-07-31,2
2008-08-02,15
2008-08-03,12
2008-08-10,7
2008-08-11,8
2008-08-12,7
2008-08-16,14
2008-08-17,6
2008-09-04,8
2008-09-08,1
2008-09-12,8
2008-09-13,2
2008-09-15,16
2008-09-16,2
2008-09-17,3
2008-09-18,10
2008-09-19,2
2008-09-20,14
2008-09-23,2
2008-09-29,32
2008-09-30,17
2008-10-01,6
2008-10-02,10
2008-10-07,1
2008-10-08,3
2008-10-11,4
2008-10-12,15
2008-10-13,14
2008-10-14,5
2008-10-15,12
2008-10-16,11
2008-10-17,5
2008-10-18,20
2008-10-19,17
2008-10-20,7
2008-10-21,1
2008-10-22,14
2008-10-23,2
2008-10-24,1
2008-10-26,10
2008-10-31,2
2008-11-01,15
2008-11-03,8
2008-11-04,6
2008-11-05,13
2008-11-06,2
2008-11-17,4
2008-11-18,3
2008-11-20,6
2008-11-21,4
2008-11-22,2
2008-11-24,2
2008-11-25,2
2008-11-26,6
2008-11-27,2
2008-11-28,5
2008-11-29,6
2008-11-30,1
2008-12-01,5
2008-12-02,2
2008-12-08,9
2008-12-09,1
2008-12-11,1
2008-12-13,9
2008-12-14,8
2008-12-15,9
2008-12-17,1
2008-12-20,12
2008-12-21,4
2008-12-22,5
2008-12-23,7
2008-12-24,11
2008-12-25,1
2008-12-26,10
2008-12-27,7
2008-12-28,13
2008-12-29,1
2008-12-31,4
2009-01-06,7
2009-01-11,1
2009-01-12,2
2009-01-13,5
2009-01-14,1
2009-01-15,13
2009-01-16,12
2009-01-17,2
2009-01-18,16
2009-01-19,1
2009-01-20,2
2009-01-21,1
2009-01-22,12
2009-01-24,3
2009-01-25,4
2009-01-26,10
2009-01-28,7
2009-02-02,3
2009-02-03,1
2009-02-04,3
2009-02-07,2
2009-02-08,10
2009-02-10,1
2009-02-11,2
2009-02-14,22
2009-02-15,2
2009-02-16,2
2009-02-17,2
2009-02-22,1
