k,pv_cnt,pn_cnt,n,pv_rate
1,15,91,106,0.14150943396226415
2,24,61,85,0.2823529411764706
3,13,51,64,0.203125
4,11,35,46,0.2391304347826087
5,7,26,33,0.21212121212121213
6,7,12,19,0.3684210526315789
7,2,12,14,0.14285714285714285
8,3,9,12,0.25
9,3,8,11,0.2727272727272727
10,3,4,7,0.42857142857142855
11,1,6,7,0.14285714285714285
12,1,5,6,0.16666666666666666
13,1,3,4,0.25
14,1,1,2,0.5
15,0,2,2,0.0
16,0,1,1,0.0
17,1,0,1,1.0
18,1,0,1,1.0
19,0,1,1,0.0
20,1,0,1,1.0
21,1,0,1,1.0
22,0,1,1,0.0
23,1,0,1,1.0
24,1,0,1,1.0
25,0,1,1,0.0
