k,pv_cnt,pn_cnt,n,pv_rate
1,29,110,139,0.20863309352517986
2,24,111,135,0.17777777777777778
3,23,103,126,0.18253968253968253
4,22,92,114,0.19298245614035087
5,27,72,99,0.2727272727272727
6,25,65,90,0.2777777777777778
7,16,60,76,0.21052631578947367
8,13,48,61,0.21311475409836064
9,12,41,53,0.22641509433962265
10,14,33,47,0.2978723404255319
11,12,25,37,0.32432432432432434
12,5,30,35,0.14285714285714285
13,4,23,27,0.14814814814814814
14,4,18,22,0.18181818181818182
15,3,17,20,0.15
16,3,15,18,0.16666666666666666
17,5,11,16,0.3125
18,2,13,15,0.13333333333333333
19,2,10,12,0.16666666666666666
20,3,8,11,0.2727272727272727
21,0,9,9,0.0
22,2,5,7,0.2857142857142857
23,2,3,5,0.4
24,0,4,4,0.0
25,2,2,4,0.5
26,2,0,2,1.0
27,1,1,2,0.5
28,0,2,2,0.0
29,0,2,2,0.0
30,0,2,2,0.0
