date,visits_in_day
2009-02-13,19
2009-02-14,13
2009-02-15,2
2009-02-16,22
2009-02-17,10
2009-02-18,5
2009-02-19,10
2009-02-20,16
2009-02-21,2
2009-02-22,7
2009-02-23,3
2009-02-24,13
2009-02-25,5
2009-02-26,11
2009-02-27,8
2009-02-28,3
2009-03-02,8
2009-03-03,13
2009-03-04,11
2009-03-05,8
2009-03-06,4
2009-03-07,5
2009-03-08,8
2009-03-09,8
2009-03-10,15
2009-03-11,5
2009-03-12,5
2009-03-13,14
2009-03-14,29
2009-03-16,6
2009-03-17,9
2009-03-18,15
2009-03-19,14
2009-03-20,4
2009-03-21,14
2009-03-29,2
2009-03-30,23
2009-03-31,14
2009-04-01,8
2009-04-02,12
2009-04-03,14
2009-04-04,6
2009-04-06,9
2009-04-07,18
2009-04-08,3
2009-04-09,7
2009-04-10,7
2009-04-11,6
2009-04-13,5
2009-04-14,4
2009-04-15,10
2009-04-16,16
2009-04-17,3
2009-04-18,16
2009-04-19,8
2009-04-20,15
2009-04-21,4
2009-04-22,9
2009-04-23,9
2009-04-24,2
2009-04-25,12
2009-04-26,15
2009-04-27,25
2009-04-28,18
2009-04-29,14
2009-04-30,10
2009-05-01,11
2009-05-02,16
2009-05-03,9
2009-05-04,11
2009-05-05,20
2009-05-06,8
2009-05-07,7
2009-05-08,9
2009-05-09,5
2009-05-10,11
2009-05-11,5
2009-05-12,4
2009-05-13,8
2009-05-14,7
2009-05-15,3
2009-05-16,11
2009-05-17,7
2009-05-18,6
2009-05-19,16
2009-05-20,3
2009-05-21,8
2009-05-22,6
2009-05-23,5
2009-05-24,3
2009-05-25,8
2009-05-26,14
2009-05-27,3
2009-05-28,15
2009-05-29,3
2009-05-30,19
2009-05-31,10
2009-06-01,11
2009-06-02,5
2009-06-03,20
2009-06-04,6
2009-06-05,13
2009-06-06,18
2009-06-07,14
2009-06-08,14
2009-06-09,13
2009-06-10,15
2009-06-11,7
2009-06-12,12
2009-06-13,21
2009-06-14,9
2009-06-15,17
2009-06-16,12
2009-06-17,8
2009-06-18,16
2009-06-19,14
2009-06-20,11
2009-06-21,18
2009-06-22,10
2009-06-23,13
2009-06-24,19
2009-06-25,9
2009-06-26,5
2009-06-27,6
2009-06-28,1
2009-06-29,11
2009-06-30,22
2009-07-01,6
2009-07-02,10
2009-07-03,13
2009-07-04,7
2009-07-05,13
2009-07-06,8
2009-07-07,6
2009-07-08,11
2009-07-09,5
2009-07-10,9
