k,home_k,at_risk,hazard
1,15,117,0.1282051282051282
2,16,104,0.15384615384615385
3,11,89,0.12359550561797752
4,8,74,0.10810810810810811
5,5,54,0.09259259259259259
6,3,42,0.07142857142857142
7,3,34,0.08823529411764706
8,5,27,0.18518518518518517
9,1,22,0.045454545454545456
10,0,17,0.0
11,1,13,0.07692307692307693
12,1,9,0.1111111111111111
13,1,7,0.14285714285714285
14,0,6,0.0
15,1,3,0.3333333333333333
16,0,2,0.0
17,0,1,0.0
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,0,
23,0,0,
24,0,0,
25,0,0,
26,0,0,
27,0,0,
28,0,0,
29,0,0,
30,0,0,
