k,pv_cnt,pn_cnt,n,pv_rate
1,10,106,116,0.08620689655172414
2,15,90,105,0.14285714285714285
3,22,71,93,0.23655913978494625
4,23,58,81,0.2839506172839506
5,10,67,77,0.12987012987012986
6,12,54,66,0.18181818181818182
7,12,42,54,0.2222222222222222
8,7,42,49,0.14285714285714285
9,8,38,46,0.17391304347826086
10,5,37,42,0.11904761904761904
11,6,34,40,0.15
12,8,31,39,0.20512820512820512
13,7,28,35,0.2
14,7,26,33,0.21212121212121213
15,4,28,32,0.125
16,5,23,28,0.17857142857142858
17,3,22,25,0.12
18,4,21,25,0.16
19,5,19,24,0.20833333333333334
20,4,18,22,0.18181818181818182
21,5,15,20,0.25
22,3,14,17,0.17647058823529413
23,2,12,14,0.14285714285714285
24,1,10,11,0.09090909090909091
25,1,8,9,0.1111111111111111
26,0,8,8,0.0
27,0,8,8,0.0
28,0,6,6,0.0
29,0,2,2,0.0
