date,visits_in_day
2009-01-13,6
2009-01-14,6
2009-01-15,10
2009-01-16,9
2009-01-17,22
2009-01-18,7
2009-01-19,2
2009-01-20,6
2009-01-21,27
2009-01-22,13
2009-01-23,18
2009-01-24,8
2009-01-26,1
2009-01-31,9
2009-02-01,16
2009-02-02,15
2009-02-03,11
2009-02-04,10
2009-02-05,21
2009-02-06,13
2009-02-07,14
2009-02-08,5
2009-02-09,5
2009-02-10,8
2009-02-11,6
2009-02-12,4
2009-02-13,19
2009-02-14,32
2009-02-15,14
2009-02-16,9
2009-02-17,13
2009-02-18,24
2009-02-19,9
2009-02-20,14
2009-02-21,14
2009-02-22,13
2009-02-23,3
2009-02-24,8
2009-02-25,7
2009-03-04,3
2009-03-05,9
2009-03-06,22
2009-03-07,22
2009-03-08,16
2009-03-09,7
2009-03-10,11
2009-03-11,9
2009-03-12,13
2009-03-13,9
2009-03-14,35
2009-03-15,13
2009-03-16,5
2009-03-17,7
2009-03-18,15
2009-03-19,7
2009-03-20,8
2009-03-21,11
2009-03-22,31
2009-03-23,7
2009-03-24,19
2009-03-25,6
2009-04-02,14
2009-04-03,14
2009-04-04,14
2009-04-05,9
2009-04-06,29
2009-04-07,18
2009-04-08,10
2009-04-09,23
2009-04-10,6
2009-04-11,10
2009-04-12,8
2009-04-13,8
2009-04-14,11
2009-04-15,12
2009-04-16,13
2009-04-17,7
2009-04-18,5
2009-04-19,21
2009-04-20,16
2009-04-21,4
2009-04-22,8
2009-04-23,9
2009-04-24,11
2009-04-25,25
2009-04-26,17
2009-04-27,6
2009-04-28,9
2009-04-29,5
2009-04-30,9
2009-05-01,26
2009-05-02,11
2009-05-03,8
2009-05-04,10
2009-05-05,7
2009-05-06,6
2009-05-07,7
2009-05-08,9
2009-05-09,7
2009-05-10,9
2009-05-11,9
2009-05-12,10
2009-05-13,11
2009-05-14,10
2009-05-15,16
2009-05-16,10
2009-05-17,13
2009-05-18,8
2009-05-19,10
2009-05-20,6
2009-05-21,18
2009-05-22,9
2009-05-23,9
2009-05-24,20
2009-05-25,20
2009-05-26,19
2009-05-27,4
2009-05-28,22
2009-05-29,19
2009-05-30,13
2009-05-31,16
2009-06-01,17
2009-06-02,10
2009-06-03,12
2009-06-04,10
2009-06-05,8
2009-06-06,7
2009-06-07,20
2009-06-08,4
2009-06-09,11
2009-06-10,15
2009-06-11,12
2009-06-12,12
2009-06-13,16
2009-06-14,10
2009-06-15,13
2009-06-16,12
2009-06-17,11
2009-06-18,6
2009-06-19,6
2009-06-20,8
2009-06-21,13
2009-06-22,3
2009-06-23,10
2009-06-24,13
2009-06-25,14
2009-06-26,13
2009-06-27,7
2009-06-28,8
2009-06-29,14
2009-06-30,7
2009-07-01,15
2009-07-02,5
2009-07-03,10
2009-07-04,31
2009-07-05,13
2009-07-06,18
2009-07-07,14
2009-07-08,12
2009-07-09,13
2009-07-10,21
2009-07-11,12
2009-07-12,14
2009-07-13,8
2009-07-14,9
2009-07-15,22
2009-07-16,14
2009-07-17,15
2009-07-18,20
2009-07-19,18
2009-07-20,13
2009-07-21,41
2009-07-22,15
2009-07-23,16
2009-07-24,17
2009-07-25,9
2009-07-26,16
2009-07-27,14
2009-07-28,14
