k,home_k,at_risk,hazard
1,32,138,0.2318840579710145
2,21,122,0.1721311475409836
3,20,108,0.18518518518518517
4,20,97,0.20618556701030927
5,14,85,0.16470588235294117
6,15,77,0.19480519480519481
7,13,65,0.2
8,9,58,0.15517241379310345
9,10,48,0.20833333333333334
10,7,40,0.175
11,4,34,0.11764705882352941
12,6,27,0.2222222222222222
13,4,22,0.18181818181818182
14,5,19,0.2631578947368421
15,5,14,0.35714285714285715
16,3,10,0.3
17,0,8,0.0
18,1,7,0.14285714285714285
19,2,5,0.4
20,1,3,0.3333333333333333
21,0,2,0.0
22,0,2,0.0
23,0,2,0.0
24,1,2,0.5
25,0,1,0.0
26,0,1,0.0
27,0,1,0.0
28,0,1,0.0
29,0,1,0.0
30,0,1,0.0
