k,home_k,at_risk,hazard
1,26,187,0.13903743315508021
2,17,180,0.09444444444444444
3,16,171,0.0935672514619883
4,16,161,0.09937888198757763
5,15,148,0.10135135135135136
6,13,141,0.09219858156028368
7,13,130,0.1
8,12,120,0.1
9,11,113,0.09734513274336283
10,8,102,0.0784313725490196
11,9,84,0.10714285714285714
12,2,75,0.02666666666666667
13,6,66,0.09090909090909091
14,3,57,0.05263157894736842
15,4,49,0.08163265306122448
16,3,35,0.08571428571428572
17,1,24,0.041666666666666664
18,2,19,0.10526315789473684
19,1,17,0.058823529411764705
20,0,14,0.0
21,1,11,0.09090909090909091
22,0,7,0.0
23,2,7,0.2857142857142857
24,0,5,0.0
25,1,4,0.25
26,0,3,0.0
27,0,3,0.0
28,1,2,0.5
29,0,0,
30,0,0,
