k,pv_cnt,pn_cnt,n,pv_rate
1,23,115,138,0.16666666666666666
2,34,88,122,0.2786885245901639
3,33,75,108,0.3055555555555556
4,26,71,97,0.26804123711340205
5,19,66,85,0.2235294117647059
6,23,54,77,0.2987012987012987
7,14,51,65,0.2153846153846154
8,14,44,58,0.2413793103448276
9,10,38,48,0.20833333333333334
10,9,31,40,0.225
11,8,26,34,0.23529411764705882
12,5,22,27,0.18518518518518517
13,4,18,22,0.18181818181818182
14,7,12,19,0.3684210526315789
15,4,10,14,0.2857142857142857
16,3,7,10,0.3
17,3,5,8,0.375
18,1,6,7,0.14285714285714285
19,0,5,5,0.0
20,0,3,3,0.0
21,0,2,2,0.0
22,1,1,2,0.5
23,0,2,2,0.0
24,0,2,2,0.0
25,0,1,1,0.0
26,0,1,1,0.0
27,0,1,1,0.0
28,0,1,1,0.0
29,0,1,1,0.0
30,0,1,1,0.0
