k,home_k,at_risk,hazard
1,24,116,0.20689655172413793
2,23,105,0.21904761904761905
3,12,93,0.12903225806451613
4,6,81,0.07407407407407407
5,2,77,0.025974025974025976
6,2,66,0.030303030303030304
7,3,54,0.05555555555555555
8,2,49,0.04081632653061224
9,1,46,0.021739130434782608
10,2,42,0.047619047619047616
11,0,40,0.0
12,3,39,0.07692307692307693
13,4,35,0.11428571428571428
14,3,33,0.09090909090909091
15,1,32,0.03125
16,2,28,0.07142857142857142
17,0,25,0.0
18,2,25,0.08
19,2,24,0.08333333333333333
20,1,22,0.045454545454545456
21,0,20,0.0
22,0,17,0.0
23,3,14,0.21428571428571427
24,1,11,0.09090909090909091
25,0,9,0.0
26,0,8,0.0
27,0,8,0.0
28,1,6,0.16666666666666666
29,0,2,0.0
30,0,0,
