k,pv_cnt,pn_cnt,n,pv_rate
1,9,29,79,0.23684210526315788
2,10,28,59,0.2631578947368421
3,9,45,72,0.16666666666666666
4,10,41,65,0.19607843137254902
5,12,43,70,0.21818181818181817
6,12,39,63,0.23529411764705882
7,10,37,60,0.2127659574468085
8,13,26,50,0.3333333333333333
9,13,30,55,0.3023255813953488
10,11,33,50,0.25
11,11,42,61,0.20754716981132076
12,11,32,47,0.2558139534883721
13,8,31,50,0.20512820512820512
14,9,27,40,0.25
15,11,25,48,0.3055555555555556
16,9,26,36,0.2571428571428571
17,9,21,38,0.3
18,10,19,33,0.3448275862068966
19,5,21,30,0.19230769230769232
20,7,18,29,0.28
21,6,14,22,0.3
22,3,18,25,0.14285714285714285
23,2,16,21,0.1111111111111111
24,3,11,16,0.21428571428571427
25,4,10,18,0.2857142857142857
26,1,11,13,0.08333333333333333
27,5,9,18,0.35714285714285715
28,3,11,14,0.21428571428571427
29,3,9,13,0.25
30,2,12,14,0.14285714285714285
