date,visits_in_day
2008-10-23,2
2008-10-24,14
2008-10-25,8
2008-10-26,30
2008-10-27,5
2008-10-28,7
2008-10-29,9
2008-10-30,6
2008-10-31,8
2008-11-01,19
2008-11-02,13
2008-11-03,9
2008-11-04,7
2008-11-05,3
2008-11-06,13
2008-11-07,8
2008-11-08,8
2008-11-09,20
2008-11-10,16
2008-11-11,14
2008-11-12,8
2008-11-13,12
2008-11-14,20
2008-11-15,16
2008-11-16,18
2008-11-17,7
2008-11-18,7
2008-11-19,10
2008-11-20,9
2008-11-21,7
2008-11-22,18
2008-11-23,11
2008-12-01,10
2008-12-02,13
2008-12-03,8
2008-12-04,8
2008-12-05,8
2008-12-06,18
2008-12-07,16
2008-12-08,7
2008-12-09,10
2008-12-10,6
2008-12-11,9
2008-12-12,7
2008-12-13,23
2008-12-14,10
2008-12-22,4
2008-12-23,1
2008-12-24,3
2008-12-27,4
2008-12-28,1
2008-12-31,4
2009-01-01,4
2009-01-08,2
2009-01-09,15
2009-01-10,1
2009-01-19,4
2009-01-20,7
2009-01-21,7
2009-01-22,7
2009-01-23,8
2009-01-31,2
2009-02-01,3
2009-02-02,3
2009-02-03,4
2009-02-04,4
2009-02-05,7
2009-02-06,8
2009-02-07,8
2009-02-08,16
2009-02-09,6
2009-02-10,4
2009-02-11,5
2009-02-12,2
2009-02-13,3
2009-02-14,23
2009-02-15,5
2009-02-16,5
2009-02-17,5
2009-02-18,5
2009-02-19,6
2009-02-20,2
2009-02-21,5
2009-02-22,6
2009-02-23,2
2009-02-24,8
2009-02-25,6
2009-02-26,5
2009-02-27,3
2009-02-28,7
2009-03-01,5
2009-03-02,4
2009-03-03,2
2009-03-04,3
2009-03-05,2
2009-03-06,8
2009-03-07,11
2009-03-08,2
2009-03-09,7
2009-03-10,4
2009-03-12,2
2009-03-14,6
2009-03-15,11
2009-03-17,2
2009-03-18,3
2009-03-19,1
2009-03-21,3
2009-03-22,15
