k,home_k,at_risk,hazard
1,3,139,0.02158273381294964
2,6,135,0.044444444444444446
3,4,126,0.031746031746031744
4,5,114,0.043859649122807015
5,7,99,0.0707070707070707
6,12,90,0.13333333333333333
7,9,76,0.11842105263157894
8,8,61,0.13114754098360656
9,7,53,0.1320754716981132
10,7,47,0.14893617021276595
11,2,37,0.05405405405405406
12,5,35,0.14285714285714285
13,3,27,0.1111111111111111
14,0,22,0.0
15,3,20,0.15
16,4,18,0.2222222222222222
17,2,16,0.125
18,2,15,0.13333333333333333
19,1,12,0.08333333333333333
20,2,11,0.18181818181818182
21,2,9,0.2222222222222222
22,1,7,0.14285714285714285
23,1,5,0.2
24,1,4,0.25
25,2,4,0.5
26,0,2,0.0
27,0,2,0.0
28,0,2,0.0
29,0,2,0.0
30,0,2,0.0
