date,visits_in_day
2008-01-24,4
2008-01-27,7
2008-02-02,1
2008-02-19,3
2008-02-23,21
2008-02-25,5
2008-02-26,8
2008-02-27,4
2008-03-01,12
2008-04-07,17
2008-04-09,3
2008-04-11,11
2008-04-12,3
2008-04-13,3
2008-04-14,12
2008-04-15,5
2008-04-16,2
2008-04-22,1
2008-04-26,1
2008-04-28,1
2008-04-29,2
2008-04-30,1
2008-05-04,1
2008-05-05,2
2008-05-06,1
2008-05-10,12
2008-05-11,1
2008-05-13,1
2008-05-14,1
2008-05-15,1
2008-05-16,1
2008-05-17,5
2008-05-18,4
2008-05-19,1
2008-05-20,1
2008-05-21,1
2008-05-22,1
2008-05-23,2
2008-05-24,23
2008-05-25,1
2008-05-27,2
2008-05-28,1
2008-05-29,1
2008-05-30,11
2008-05-31,1
2008-06-01,2
2008-06-04,1
2008-06-05,1
2008-06-07,1
2008-06-08,4
2008-06-09,4
2008-06-10,1
2008-06-11,2
2008-06-12,1
2008-06-15,9
2008-06-16,1
2008-06-17,2
2008-06-18,4
2008-06-20,18
2008-06-21,2
2008-06-22,8
2008-06-25,1
2008-06-26,2
2008-06-27,6
2008-06-28,5
2008-06-29,6
2008-06-30,1
2008-07-01,14
2008-07-02,2
2008-07-03,2
2008-07-05,3
2008-07-06,6
2008-07-07,1
2008-07-10,10
2008-07-11,1
2008-07-13,11
2008-07-14,1
2008-07-15,4
2008-07-16,7
2008-07-17,8
2008-07-18,1
