k,pv_cnt,pn_cnt,n,pv_rate
1,45,81,126,0.35714285714285715
2,43,40,83,0.5180722891566265
3,27,31,58,0.46551724137931033
4,19,22,41,0.4634146341463415
5,10,20,30,0.3333333333333333
6,9,14,23,0.391304347826087
7,8,7,15,0.5333333333333333
8,7,5,12,0.5833333333333334
9,5,5,10,0.5
10,2,7,9,0.2222222222222222
11,1,4,5,0.2
12,3,2,5,0.6
13,2,3,5,0.4
14,1,3,4,0.25
15,1,3,4,0.25
16,2,1,3,0.6666666666666666
17,1,1,2,0.5
18,1,1,2,0.5
19,2,0,2,1.0
20,1,1,2,0.5
21,0,2,2,0.0
22,0,2,2,0.0
23,0,1,1,0.0
24,0,1,1,0.0
25,0,1,1,0.0
26,0,1,1,0.0
27,0,1,1,0.0
