k,pv_cnt,pn_cnt,n,pv_rate
1,61,76,137,0.44525547445255476
2,64,72,136,0.47058823529411764
3,60,72,132,0.45454545454545453
4,62,61,123,0.5040650406504065
5,48,70,118,0.4067796610169492
6,36,70,106,0.33962264150943394
7,28,69,97,0.28865979381443296
8,21,68,89,0.23595505617977527
9,23,53,76,0.3026315789473684
10,16,51,67,0.23880597014925373
11,14,46,60,0.23333333333333334
12,17,33,50,0.34
13,10,36,46,0.21739130434782608
14,4,34,38,0.10526315789473684
15,6,22,28,0.21428571428571427
16,4,18,22,0.18181818181818182
17,3,13,16,0.1875
18,4,11,15,0.26666666666666666
19,2,9,11,0.18181818181818182
20,0,8,8,0.0
21,1,5,6,0.16666666666666666
22,1,4,5,0.2
23,0,3,3,0.0
24,1,1,2,0.5
25,2,0,2,1.0
26,0,1,1,0.0
27,0,1,1,0.0
28,1,0,1,1.0
29,0,1,1,0.0
