date,visits_in_day
2007-11-30,1
2007-12-01,4
2007-12-02,5
2007-12-04,1
2007-12-05,2
2007-12-07,2
2007-12-10,5
2007-12-11,2
2007-12-14,4
2007-12-15,1
2007-12-16,3
2007-12-17,2
2007-12-18,3
2007-12-19,2
2007-12-20,4
2007-12-21,3
2007-12-23,2
2007-12-27,4
2007-12-28,6
2007-12-30,1
2008-01-01,3
2008-01-05,5
2008-01-09,3
2008-01-10,1
2008-01-11,9
2008-01-17,5
2008-01-18,13
2008-01-19,1
2008-01-21,6
2008-01-22,4
2008-01-23,9
2008-01-24,1
2008-01-25,5
2008-01-27,5
2008-01-28,3
2008-01-29,1
2008-02-25,3
2008-02-26,1
2008-03-01,12
2008-03-03,5
2008-03-08,2
2008-03-10,3
2008-03-11,1
2008-03-16,3
2008-03-17,2
2008-03-18,2
2008-03-19,5
2008-03-22,4
2008-03-24,11
2008-03-26,7
2008-03-28,2
2008-03-29,1
2008-03-30,4
2008-03-31,25
2008-04-02,1
2008-04-05,2
2008-04-12,4
2008-04-13,1
2008-04-14,2
2008-04-19,4
2008-04-20,2
2008-05-02,7
2008-05-05,1
2008-05-10,3
2008-05-12,1
2008-05-16,1
2008-05-17,3
2008-05-18,2
2008-05-20,3
2008-05-27,2
2008-05-28,3
2008-05-30,1
2008-05-31,5
2008-06-09,4
2008-06-15,5
2008-06-20,6
2008-06-21,3
2008-06-26,6
2008-06-29,9
2008-07-03,12
2008-07-05,5
2008-07-07,3
2008-07-10,1
2008-07-14,3
2008-07-15,8
2008-07-16,3
2008-07-18,5
2008-07-19,2
2008-07-20,5
2008-07-21,4
2008-07-23,2
2008-07-24,4
2008-07-25,2
2008-07-28,2
2008-07-30,1
2008-08-02,3
2008-08-04,2
2008-08-07,1
2008-08-11,1
2008-08-12,2
2008-08-13,9
2008-08-14,4
2008-08-15,15
2008-08-16,6
2008-08-17,13
2008-08-18,5
