date,visits_in_day
2009-01-09,8
2009-01-10,9
2009-01-11,7
2009-01-12,5
2009-02-03,19
2009-02-04,14
2009-02-06,23
2009-02-07,10
2009-02-08,6
2009-02-09,25
2009-02-10,5
2009-02-11,8
2009-02-12,3
2009-02-13,22
2009-02-14,28
2009-02-16,10
2009-02-17,7
2009-02-19,2
2009-02-20,16
2009-02-21,27
2009-02-22,15
2009-03-04,1
2009-03-05,18
2009-03-07,9
2009-03-08,5
2009-03-09,3
2009-03-10,6
2009-03-11,16
2009-03-12,6
2009-03-13,2
2009-03-20,4
2009-03-21,9
2009-03-22,24
2009-03-23,6
2009-03-24,2
2009-03-26,1
2009-03-27,1
2009-04-02,8
2009-04-03,6
2009-04-05,6
2009-04-08,9
2009-04-09,6
2009-04-10,23
2009-04-11,5
2009-04-13,6
2009-04-16,3
2009-04-17,29
2009-04-18,12
2009-04-19,19
2009-04-22,11
2009-04-23,1
2009-04-24,1
2009-04-25,3
2009-04-26,5
2009-04-27,6
2009-04-28,7
2009-04-29,16
2009-04-30,12
2009-05-01,21
2009-05-02,20
2009-05-03,4
2009-05-04,7
2009-05-05,12
2009-05-06,24
2009-05-07,3
2009-05-09,3
2009-05-10,27
2009-05-11,21
2009-05-12,15
2009-05-13,6
2009-05-14,1
2009-05-15,4
2009-05-16,1
2009-05-21,3
2009-05-27,2
2009-05-28,5
2009-05-29,5
2009-05-31,2
2009-06-01,2
2009-06-03,2
2009-06-06,15
2009-06-08,12
2009-06-09,13
2009-06-10,3
2009-06-11,5
2009-06-15,4
2009-06-16,2
2009-06-17,28
2009-06-18,2
2009-06-20,29
2009-06-21,20
2009-06-23,6
2009-06-25,1
2009-06-27,13
2009-06-29,21
2009-06-30,28
2009-07-01,2
2009-07-02,1
2009-07-06,6
2009-07-08,7
2009-07-09,5
2009-07-11,28
2009-07-12,15
2009-07-13,1
2009-07-14,5
2009-07-15,5
2009-07-16,2
2009-07-17,3
2009-07-18,3
2009-07-19,3
2009-07-20,1
2009-07-21,23
2009-07-23,22
2009-07-24,22
2009-07-26,3
2009-07-27,2
