k,home_k,at_risk,hazard
1,52,242,0.21487603305785125
2,47,238,0.19747899159663865
3,34,224,0.15178571428571427
4,36,206,0.17475728155339806
5,35,194,0.18041237113402062
6,28,174,0.16091954022988506
7,32,162,0.19753086419753085
8,14,140,0.1
9,9,127,0.07086614173228346
10,10,119,0.08403361344537816
11,10,103,0.0970873786407767
12,11,89,0.12359550561797752
13,10,81,0.12345679012345678
14,10,70,0.14285714285714285
15,2,58,0.034482758620689655
16,10,50,0.2
17,4,41,0.0975609756097561
18,6,37,0.16216216216216217
19,5,31,0.16129032258064516
20,2,27,0.07407407407407407
21,2,21,0.09523809523809523
22,2,18,0.1111111111111111
23,2,17,0.11764705882352941
24,0,15,0.0
25,2,13,0.15384615384615385
26,2,8,0.25
27,2,6,0.3333333333333333
28,0,4,0.0
29,0,4,0.0
30,1,3,0.3333333333333333
