k,home_k,at_risk,hazard
1,12,179,0.0670391061452514
2,19,178,0.10674157303370786
3,21,177,0.11864406779661017
4,12,174,0.06896551724137931
5,13,170,0.07647058823529412
6,12,164,0.07317073170731707
7,11,153,0.0718954248366013
8,7,140,0.05
9,10,127,0.07874015748031496
10,7,109,0.06422018348623854
11,7,95,0.07368421052631578
12,6,86,0.06976744186046512
13,2,79,0.02531645569620253
14,5,63,0.07936507936507936
15,2,49,0.04081632653061224
16,3,43,0.06976744186046512
17,1,35,0.02857142857142857
18,1,32,0.03125
19,0,27,0.0
20,3,23,0.13043478260869565
21,0,19,0.0
22,1,16,0.0625
23,0,11,0.0
24,0,10,0.0
25,0,9,0.0
26,0,8,0.0
27,1,7,0.14285714285714285
28,0,6,0.0
29,1,6,0.16666666666666666
30,0,5,0.0
