date,visits_in_day
2007-12-07,2
2007-12-08,8
2007-12-09,6
2007-12-10,1
2007-12-11,2
2007-12-12,2
2007-12-13,4
2007-12-14,2
2007-12-15,1
2007-12-16,1
2007-12-18,3
2007-12-19,3
2007-12-20,4
2007-12-23,1
2007-12-24,1
2008-01-01,1
2008-01-02,1
2008-01-03,3
2008-01-04,2
2008-01-05,3
2008-01-07,1
2008-01-08,2
2008-01-10,2
2008-01-12,2
2008-01-14,4
2008-01-15,2
2008-01-16,4
2008-01-17,4
2008-01-18,7
2008-06-18,1
2008-06-19,1
2008-06-20,8
2008-06-21,3
2008-06-23,1
2008-06-24,13
2008-06-25,11
2008-07-24,6
2008-07-26,6
2008-07-27,5
2008-07-28,19
2008-07-29,13
2008-07-30,11
2008-07-31,14
2008-08-01,8
2008-08-02,8
2008-08-03,7
2008-08-04,9
2008-08-05,20
2008-08-06,2
2008-08-07,17
2008-08-08,4
2008-08-09,6
2008-08-10,16
2008-08-11,19
2008-08-12,9
2008-08-13,9
2008-08-14,4
2008-08-15,6
2008-08-16,6
2008-08-17,6
2008-08-18,6
2008-08-19,8
2008-08-20,15
2008-08-21,7
2008-08-22,7
2008-08-23,10
2008-08-24,9
2008-08-25,6
2008-08-26,7
2008-08-27,9
2008-08-28,9
2008-08-29,6
2008-08-30,11
2008-09-02,3
2008-09-03,4
2008-09-04,15
2008-09-05,24
2008-09-07,12
2008-09-08,10
2008-09-10,8
2008-09-11,10
2008-09-12,15
2008-09-13,11
2008-09-14,8
2008-09-15,1
2008-09-16,4
2008-09-17,8
2008-09-18,16
2008-09-19,7
2008-09-20,11
2008-09-21,10
2008-09-22,2
2008-09-23,12
2008-09-24,1
2008-09-25,14
2008-10-04,9
2008-10-05,3
2008-10-14,1
2008-10-15,18
2008-10-16,32
2008-10-17,11
2008-10-18,6
2008-10-19,9
2008-10-20,11
2008-10-21,12
2008-10-28,1
2008-10-29,4
2008-10-30,5
2008-10-31,14
2008-11-01,12
2008-11-02,8
2008-11-03,7
2008-11-04,3
2008-11-05,18
2008-11-06,14
2008-11-07,8
2008-11-08,1
2008-11-09,15
2008-11-10,5
2008-11-11,13
2008-11-12,5
2008-11-13,3
2008-11-14,5
2008-11-15,5
2008-11-16,10
2008-11-17,3
2008-12-04,10
2008-12-05,12
2008-12-06,2
2008-12-07,5
2008-12-08,2
2008-12-09,5
2008-12-10,3
2008-12-11,4
2008-12-12,14
2008-12-13,6
2008-12-14,2
2008-12-15,4
