k,pv_cnt,pn_cnt,n,pv_rate
1,28,126,154,0.18181818181818182
2,29,102,131,0.22137404580152673
3,26,83,109,0.23853211009174313
4,24,73,97,0.24742268041237114
5,20,70,90,0.2222222222222222
6,24,55,79,0.3037974683544304
7,22,49,71,0.30985915492957744
8,14,48,62,0.22580645161290322
9,12,40,52,0.23076923076923078
10,8,40,48,0.16666666666666666
11,7,33,40,0.175
12,7,28,35,0.2
13,6,22,28,0.21428571428571427
14,4,19,23,0.17391304347826086
15,5,13,18,0.2777777777777778
16,2,13,15,0.13333333333333333
17,5,7,12,0.4166666666666667
18,1,7,8,0.125
19,3,3,6,0.5
20,2,4,6,0.3333333333333333
21,1,4,5,0.2
22,2,3,5,0.4
23,1,2,3,0.3333333333333333
24,1,1,2,0.5
25,0,2,2,0.0
26,1,1,2,0.5
27,1,1,2,0.5
28,1,1,2,0.5
29,0,2,2,0.0
30,0,1,1,0.0
