k,home_k,at_risk,hazard
1,49,108,0.4537037037037037
2,31,104,0.2980769230769231
3,28,93,0.3010752688172043
4,19,89,0.21348314606741572
5,22,86,0.2558139534883721
6,21,83,0.25301204819277107
7,24,76,0.3157894736842105
8,14,71,0.19718309859154928
9,17,67,0.2537313432835821
10,5,66,0.07575757575757576
11,17,65,0.26153846153846155
12,10,61,0.16393442622950818
13,18,59,0.3050847457627119
14,7,55,0.12727272727272726
15,16,53,0.3018867924528302
16,7,46,0.15217391304347827
17,11,44,0.25
18,8,40,0.2
19,5,36,0.1388888888888889
20,9,31,0.2903225806451613
21,3,29,0.10344827586206896
22,7,28,0.25
23,6,23,0.2608695652173913
24,2,21,0.09523809523809523
25,7,20,0.35
26,1,19,0.05263157894736842
27,5,19,0.2631578947368421
28,5,18,0.2777777777777778
29,2,16,0.125
30,3,14,0.21428571428571427
