k,pv_cnt,pn_cnt,n,pv_rate
1,30,157,187,0.16042780748663102
2,28,152,180,0.15555555555555556
3,36,135,171,0.21052631578947367
4,32,129,161,0.19875776397515527
5,30,118,148,0.20270270270270271
6,40,101,141,0.28368794326241137
7,34,96,130,0.26153846153846155
8,25,95,120,0.20833333333333334
9,33,80,113,0.2920353982300885
10,27,75,102,0.2647058823529412
11,15,69,84,0.17857142857142858
12,13,62,75,0.17333333333333334
13,5,61,66,0.07575757575757576
14,6,51,57,0.10526315789473684
15,8,41,49,0.16326530612244897
16,3,32,35,0.08571428571428572
17,2,22,24,0.08333333333333333
18,1,18,19,0.05263157894736842
19,1,16,17,0.058823529411764705
20,3,11,14,0.21428571428571427
21,2,9,11,0.18181818181818182
22,1,6,7,0.14285714285714285
23,0,7,7,0.0
24,0,5,5,0.0
25,0,4,4,0.0
26,0,3,3,0.0
27,0,3,3,0.0
28,0,2,2,0.0
