k,pv_cnt,pn_cnt,n,pv_rate
1,8,171,179,0.0446927374301676
2,11,167,178,0.06179775280898876
3,16,161,177,0.0903954802259887
4,19,155,174,0.10919540229885058
5,20,150,170,0.11764705882352941
6,16,148,164,0.0975609756097561
7,18,135,153,0.11764705882352941
8,20,120,140,0.14285714285714285
9,12,115,127,0.09448818897637795
10,17,92,109,0.1559633027522936
11,8,87,95,0.08421052631578947
12,8,78,86,0.09302325581395349
13,4,75,79,0.05063291139240506
14,6,57,63,0.09523809523809523
15,6,43,49,0.12244897959183673
16,6,37,43,0.13953488372093023
17,5,30,35,0.14285714285714285
18,2,30,32,0.0625
19,0,27,27,0.0
20,3,20,23,0.13043478260869565
21,4,15,19,0.21052631578947367
22,3,13,16,0.1875
23,2,9,11,0.18181818181818182
24,1,9,10,0.1
25,0,9,9,0.0
26,1,7,8,0.125
27,0,7,7,0.0
28,0,6,6,0.0
29,0,6,6,0.0
30,0,5,5,0.0
