k,pv_cnt,pn_cnt,n,pv_rate
1,9,233,242,0.0371900826446281
2,16,222,238,0.06722689075630252
3,22,202,224,0.09821428571428571
4,21,185,206,0.10194174757281553
5,33,161,194,0.17010309278350516
6,24,150,174,0.13793103448275862
7,19,143,162,0.11728395061728394
8,23,117,140,0.16428571428571428
9,23,104,127,0.18110236220472442
10,20,99,119,0.16806722689075632
11,19,84,103,0.18446601941747573
12,15,74,89,0.16853932584269662
13,14,67,81,0.1728395061728395
14,7,63,70,0.1
15,8,50,58,0.13793103448275862
16,2,48,50,0.04
17,2,39,41,0.04878048780487805
18,3,34,37,0.08108108108108109
19,1,30,31,0.03225806451612903
20,1,26,27,0.037037037037037035
21,0,21,21,0.0
22,1,17,18,0.05555555555555555
23,1,16,17,0.058823529411764705
24,2,13,15,0.13333333333333333
25,1,12,13,0.07692307692307693
26,0,8,8,0.0
27,0,6,6,0.0
28,0,4,4,0.0
29,0,4,4,0.0
30,0,3,3,0.0
