k,home_k,at_risk,hazard
1,12,137,0.08759124087591241
2,15,136,0.11029411764705882
3,20,132,0.15151515151515152
4,17,123,0.13821138211382114
5,24,118,0.2033898305084746
6,19,106,0.1792452830188679
7,22,97,0.2268041237113402
8,18,89,0.20224719101123595
9,16,76,0.21052631578947367
10,5,67,0.07462686567164178
11,8,60,0.13333333333333333
12,7,50,0.14
13,8,46,0.17391304347826086
14,11,38,0.2894736842105263
15,5,28,0.17857142857142858
16,9,22,0.4090909090909091
17,2,16,0.125
18,5,15,0.3333333333333333
19,3,11,0.2727272727272727
20,3,8,0.375
21,0,6,0.0
22,1,5,0.2
23,0,3,0.0
24,1,2,0.5
25,1,2,0.5
26,0,1,0.0
27,0,1,0.0
28,0,1,0.0
29,0,1,0.0
30,0,0,
