date,visits_in_day
2008-10-20,6
2008-10-21,17
2008-10-22,2
2008-10-23,4
2008-10-24,8
2008-10-25,4
2008-10-26,4
2008-10-27,5
2008-10-28,1
2008-10-29,11
2008-10-30,10
2008-10-31,8
2008-11-01,2
2008-11-02,2
2008-11-03,3
2008-11-05,1
2008-11-06,1
2008-11-07,10
2008-11-09,10
2008-11-10,3
2008-11-11,4
2008-11-12,1
2008-11-13,5
2008-11-14,14
2008-11-16,10
2008-11-17,4
2008-11-18,4
2008-11-20,7
2008-11-21,9
2008-11-22,1
2008-11-23,5
2008-11-24,9
2008-11-25,2
2008-11-26,3
2008-11-27,2
2008-11-28,7
2008-11-29,1
2008-11-30,2
2008-12-01,3
2008-12-03,4
2008-12-04,4
2008-12-05,14
2008-12-06,8
2008-12-08,4
2008-12-09,2
2008-12-10,1
2008-12-11,2
2008-12-12,5
2008-12-14,2
2008-12-15,2
2008-12-16,7
2008-12-17,7
2008-12-18,16
2008-12-19,5
2008-12-20,9
2008-12-22,5
2008-12-24,12
2008-12-25,4
2008-12-26,6
2009-01-12,3
2009-01-13,14
2009-01-14,6
2009-01-15,3
2009-01-16,3
2009-01-17,1
2009-01-20,2
2009-01-21,3
2009-01-22,7
2009-01-23,1
2009-01-24,1
2009-01-25,2
2009-01-28,11
2009-01-29,5
2009-01-31,3
2009-02-06,2
2009-02-08,4
2009-02-09,5
2009-02-10,1
2009-02-11,6
2009-02-13,15
2009-02-15,5
2009-02-17,4
2009-02-18,6
2009-02-19,4
2009-02-20,7
2009-02-22,1
2009-02-23,6
2009-02-24,7
2009-02-25,3
2009-02-26,4
2009-02-27,11
2009-03-02,6
2009-03-03,5
2009-03-04,8
2009-03-05,6
2009-03-06,1
2009-03-09,5
2009-03-10,9
2009-03-11,13
2009-03-12,2
2009-03-14,12
2009-03-16,4
2009-03-17,4
2009-03-18,3
2009-03-20,3
2009-03-31,4
2009-04-01,4
2009-04-03,3
2009-04-07,4
2009-04-08,5
2009-04-09,3
2009-04-11,3
2009-04-13,8
2009-04-14,4
2009-04-15,11
2009-04-16,9
2009-04-17,2
