person,date,first_time,last_time,duration_min,grid_ci,grid_rj,grid_center_lon,grid_center_lat,dist_home_m,is_home,is_sw,is_pv,is_pn,place_id,next_step,visit_order_in_day,first_dt,last_dt,trip_id,action_order_in_trip
3,2008-10-23,18:04:04,18:14:39,10.583333333333334,42,224,116.31845395952152,40.009839009009006,0.0,1,0,0,0,HOME,end,0,2008-10-23 18:04:04,2008-10-23 18:14:39,0,0
3,2008-10-24,02:02:27,02:05:47,3.333333333333333,42,224,116.31845395952152,40.009839009009006,0.0,1,0,0,0,HOME,pv,0,2008-10-24 02:02:27,2008-10-24 02:05:47,0,0
3,2008-10-24,02:08:02,02:12:37,4.583333333333333,43,222,116.324332696653,40.00083,1119.9236542961562,0,0,1,0,Pv1,pn,1,2008-10-24 02:08:02,2008-10-24 02:12:37,1,1
3,2008-10-24,03:37:15,03:40:55,3.6666666666666665,43,222,116.324332696653,40.00083,1119.9236542961562,0,0,0,1,Pv1,pv,2,2008-10-24 03:37:15,2008-10-24 03:40:55,1,2
3,2008-10-24,03:41:00,03:57:40,16.666666666666668,43,223,116.324332696653,40.0053345045045,708.2203000536032,0,0,1,0,Pv2,home,3,2008-10-24 03:41:00,2008-10-24 03:57:40,1,3
3,2008-10-24,05:19:50,05:25:00,5.166666666666667,42,224,116.31845395952152,40.009839009009006,0.0,1,0,0,0,HOME,pn,0,2008-10-24 05:19:50,2008-10-24 05:25:00,1,0
3,2008-10-24,07:08:59,07:12:44,3.75,43,222,116.324332696653,40.00083,1119.9236542961562,0,0,0,1,Pv1,pv,4,2008-10-24 07:08:59,2008-10-24 07:12:44,2,1
3,2008-10-24,09:28:08,09:31:48,3.6666666666666665,43,221,116.324332696653,39.99632549549549,1583.8685634535902,0,0,1,0,Pv3,pn,5,2008-10-24 09:28:08,2008-10-24 09:31:48,2,2
3,2008-10-24,11:08:23,11:22:20,13.95,43,222,116.324332696653,40.00083,1119.9236542961562,0,0,0,1,Pv1,pn,6,2008-10-24 11:08:23,2008-10-24 11:22:20,2,3
3,2008-10-24,11:22:25,11:28:30,6.083333333333333,43,221,116.324332696653,39.99632549549549,1583.8685634535902,0,0,0,1,Pv3,pv,7,2008-10-24 11:22:25,2008-10-24 11:28:30,2,4
3,2008-10-24,11:31:05,11:52:33,21.466666666666665,44,220,116.33021143378446,39.99182099099099,2239.876845426581,0,0,1,0,Pv4,pv,8,2008-10-24 11:31:05,2008-10-24 11:52:33,2,5
3,2008-10-24,11:53:23,11:56:28,3.083333333333333,43,220,116.324332696653,39.99182099099099,2065.1411326932275,0,0,1,0,Pv5,pn,9,2008-10-24 11:53:23,2008-10-24 11:56:28,2,6
